Region,Total Homes Sold,Adjusted Average Homes Sold,Adjusted Average New Listings,Adjusted Pending Sales
"Posey County, IN",22.235023041474655,3.783410138248848,3.6205837173579107,2.7864823348694316
"Pottawatomie County, KS",28.37041884816754,4.835078534031414,6.534031413612565,3.7670157068062826
"Pottawatomie County, OK",86.4255617977528,15.209269662921349,17.89185393258427,11.103932584269662
"Pottawattamie County, IA",88.71524288107203,15.777219430485761,18.386934673366834,12.214405360134004
"Potter County, PA",17.612219451371573,2.7069825436408976,2.6109725685785534,1.3640897755610972
"Potter County, SD",1.55,1.0,1.0,1.0
"Potter County, TX",112.09472259810555,19.852503382949934,20.082543978349122,13.426251691474967
"Pottsville, PA metro area",142.2464,25.3712,31.1088,16.824
"Poughkeepsie, NY metro area",867.9314685314686,155.0965034965035,183.87692307692308,84.1958041958042
"Powell County, KY",11.461538461538462,1.8418803418803418,2.5128205128205128,1.3376068376068375
"Powell County, MT",9.87801204819277,1.5647590361445782,1.7590361445783131,1.2590361445783131
"Power County, ID",6.801652892561983,1.2369146005509641,1.2176308539944904,1.2121212121212122
"Poweshiek County, IA",24.796169630642954,4.136798905608755,4.556771545827633,2.384404924760602
"Powhatan County, VA",60.514619883040936,10.502923976608187,11.695906432748538,7.780116959064327
"Prairie County, AR",3.8842105263157896,1.0921052631578947,1.168421052631579,1.0447368421052632
"Prairie County, MT",3.0789473684210527,1.763157894736842,1.1842105263157894,1.6578947368421053
"Pratt County, KS",14.666666666666666,2.4029850746268657,2.4017412935323383,1.492537313432836
"Preble County, OH",51.911714770797964,9.01528013582343,10.421052631578947,6.32088285229202
"Prentiss County, MS",12.653679653679653,2.0303030303030303,2.093073593073593,1.20995670995671
"Prescott Valley, AZ metro area",509.78004073319755,90.29124236252545,101.52953156822811,60.94093686354379
"Presidio County, TX",5.480645161290322,1.232258064516129,1.2161290322580645,1.0838709677419356
"Presque Isle County, MI",20.94672131147541,3.540983606557377,3.918032786885246,2.1024590163934427
"Price County, WI",24.826732673267326,3.900990099009901,4.705445544554456,1.4108910891089108
"Price, UT metro area",29.75057208237986,4.922196796338673,5.924485125858124,3.3192219679633865
"Prince Edward County, VA",28.305882352941175,3.838235294117647,2.4647058823529413,1.8058823529411765
"Prince George County, VA",40.79032258064516,6.993951612903226,8.379032258064516,5.229838709677419
"Prince George's County, MD",1243.723404255319,222.5303951367781,252.36322188449847,172.82370820668692
"Prince William County, VA",871.2004454342984,154.83964365256125,169.99220489977728,135.77616926503342
"Prineville, OR metro area",51.91164095371669,8.960729312762973,10.614305750350631,6.531556802244039
"Providence County, RI",897.3100961538462,160.1033653846154,187.76201923076923,127.95673076923077
"Providence, RI metro area",2389.3631778058007,426.2168978562421,498.1197982345523,334.52206809583856
"Provo, UT metro area",1093.8945147679324,195.27988748241913,229.56258790436004,162.60478199718705
"Prowers County, CO",7.777777777777778,1.4656084656084656,1.343915343915344,1.0952380952380953
"Pueblo County, CO",170.92142857142858,30.710714285714285,37.74107142857143,21.992857142857144
"Pueblo, CO metro area",252.63886255924172,44.55165876777251,52.26729857819905,33.89478672985782
"Pulaski County, AR",654.5857142857143,116.85064935064935,139.20909090909092,80.61688311688312
"Pulaski County, GA",9.271119842829076,1.6601178781925343,1.62475442043222,1.3595284872298625
"Pulaski County, IL",4.214592274678112,1.1030042918454936,1.1888412017167382,1.055793991416309
"Pulaski County, IN",13.81888246628131,2.296724470134875,2.4720616570327554,1.4335260115606936
"Pulaski County, KY",84.84032258064516,14.956451612903226,17.885483870967743,6.45483870967742
"Pulaski County, MO",88.63336992316137,15.514818880351262,17.618002195389682,9.308452250274424
"Pulaski County, VA",34.05205479452055,5.727397260273973,5.7164383561643834,3.23972602739726
"Pullman, WA metro area",40.832147937411094,7.012802275960171,7.990042674253201,4.355618776671408
"Punta Gorda, FL metro area",702.2075226977951,125.32555123216602,144.4785992217899,91.12321660181583
"Pushmataha County, OK",5.228699551569507,1.1210762331838564,1.3744394618834082,1.0291479820627802
"Putnam County, FL",70.83333333333333,12.38888888888889,14.992222222222223,7.871111111111111
"Putnam County, GA",57.68384879725086,10.010309278350515,12.09106529209622,5.398625429553265
"Putnam County, IL",7.497674418604651,1.4674418604651163,1.658139534883721,1.255813953488372
"Putnam County, IN",57.52785515320334,10.030640668523677,10.403899721448468,6.3008356545961
"Putnam County, MO",5.954248366013072,1.5098039215686274,1.1568627450980393,1.0130718954248366
"Putnam County, NY",143.53606027987084,25.35199138858988,30.88805166846071,17.018299246501616
"Putnam County, OH",18.152394775036285,3.008708272859216,3.1044992743105952,1.9637155297532656
"Putnam County, TN",78.90735294117647,13.814705882352941,14.910294117647059,9.548529411764706
"Quay County, NM",3.0860655737704916,1.069672131147541,1.1434426229508197,1.028688524590164
"Queen Anne's County, MD",104.28956228956228,18.51851851851852,23.328282828282827,11.247474747474747
"Queens County, NY",1017.9472954230235,182.44105409153954,315.5381414701803,107.70596393897365
"Quincy, IL metro area",98.03042328042328,17.21825396825397,15.208994708994709,8.222222222222221
"Quitman County, GA",2.965217391304348,1.0347826086956522,1.0608695652173914,1.017391304347826
"Quitman County, MS",3.055045871559633,1.128440366972477,1.055045871559633,1.1192660550458715
"Rabun County, GA",50.345794392523366,8.537383177570094,10.608411214953271,4.547663551401869
"Racine County, WI",322.91759465478845,57.34855233853007,64.03563474387528,44.19710467706013
